State,County,Violentcrime,Murder andnonnegligentmanslaughter,Rape(reviseddefinition)1,Rape(legacydefinition)2,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny-theft,Motorvehicletheft,Arson3,
CALIFORNIA - Nonmetropolitan Counties,Modoc,20.0,0.0,,0.0,0.0,20.0,73.0,30.0,42.0,1.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Mono,8.0,0.0,,1.0,1.0,6.0,69.0,22.0,45.0,2.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Nevada,145.0,3.0,,3.0,6.0,133.0,585.0,296.0,278.0,11.0,2.0,
CALIFORNIA - Nonmetropolitan Counties,Plumas,90.0,1.0,,7.0,0.0,82.0,279.0,113.0,165.0,1.0,1.0,
CALIFORNIA - Nonmetropolitan Counties,Sierra,11.0,0.0,,0.0,0.0,11.0,29.0,12.0,16.0,1.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Siskiyou4,31.0,1.0,2.0,,2.0,26.0,169.0,72.0,92.0,5.0,1.0,
CALIFORNIA - Nonmetropolitan Counties,Tehama,156.0,5.0,,3.0,11.0,137.0,222.0,120.0,101.0,1.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Trinity,34.0,3.0,,3.0,6.0,22.0,149.0,56.0,93.0,0.0,2.0,
CALIFORNIA - Nonmetropolitan Counties,Tuolumne,129.0,0.0,,27.0,6.0,96.0,647.0,290.0,352.0,5.0,6.0,
COLORADO - Metropolitan Counties,Adams,462.0,6.0,80.0,,58.0,318.0,2319.0,442.0,1401.0,476.0,37.0,
COLORADO - Metropolitan Counties,Arapahoe,215.0,1.0,40.0,,21.0,153.0,1292.0,345.0,796.0,151.0,12.0,
COLORADO - Metropolitan Counties,Clear Creek,28.0,0.0,5.0,,0.0,23.0,77.0,20.0,50.0,7.0,0.0,
COLORADO - Metropolitan Counties,Douglas,151.0,1.0,62.0,,6.0,82.0,1440.0,301.0,1034.0,105.0,8.0,
COLORADO - Metropolitan Counties,Elbert,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,0.0,
COLORADO - Metropolitan Counties,El Paso,438.0,3.0,71.0,,24.0,340.0,2202.0,610.0,1406.0,186.0,31.0,
COLORADO - Metropolitan Counties,Gilpin,10.0,0.0,0.0,,0.0,10.0,59.0,14.0,36.0,9.0,0.0,
COLORADO - Metropolitan Counties,Jefferson,167.0,4.0,47.0,,15.0,101.0,2161.0,366.0,1656.0,139.0,14.0,
COLORADO - Metropolitan Counties,Larimer,109.0,2.0,26.0,,2.0,79.0,838.0,223.0,536.0,79.0,13.0,
