State,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,
COLORADO-Metropolitan Counties,Pueblo,19.0,2.0,0.0,3.0,14.0,1383.0,305.0,1021.0,57.0,2.0,,
COLORADO-Metropolitan Counties,Teller,14.0,0.0,0.0,0.0,14.0,74.0,26.0,44.0,4.0,2.0,,
COLORADO-Metropolitan Counties,Weld,109.0,1.0,13.0,4.0,91.0,956.0,327.0,531.0,98.0,8.0,,
COLORADO-Nonmetropolitan Counties,Alamosa,5.0,0.0,0.0,0.0,5.0,35.0,9.0,26.0,0.0,0.0,,
COLORADO-Nonmetropolitan Counties,Archuleta,12.0,0.0,1.0,0.0,11.0,113.0,30.0,71.0,12.0,0.0,,
COLORADO-Nonmetropolitan Counties,Bent,0.0,0.0,0.0,0.0,0.0,15.0,7.0,7.0,1.0,1.0,,
COLORADO-Nonmetropolitan Counties,Chaffee,15.0,0.0,2.0,1.0,12.0,125.0,32.0,89.0,4.0,0.0,,
COLORADO-Nonmetropolitan Counties,Crowley,6.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,
COLORADO-Nonmetropolitan Counties,Custer,14.0,0.0,4.0,1.0,9.0,45.0,10.0,29.0,6.0,1.0,,
COLORADO-Nonmetropolitan Counties,Delta,27.0,0.0,5.0,1.0,21.0,158.0,44.0,107.0,7.0,2.0,,
COLORADO-Nonmetropolitan Counties,Dolores,0.0,0.0,0.0,0.0,0.0,16.0,5.0,11.0,0.0,0.0,,
COLORADO-Nonmetropolitan Counties,Eagle,56.0,1.0,2.0,1.0,52.0,543.0,67.0,471.0,5.0,6.0,,
COLORADO-Nonmetropolitan Counties,Fremont,58.0,1.0,5.0,0.0,52.0,235.0,66.0,160.0,9.0,1.0,,
